Customer_ID,Customer_Name,Segment,City,Region
CUST-1,MR. JON YANG,Home Office,Hyderabad,North
CUST-2,MR. EUGENE HUANG,Home Office,Delhi,East
CUST-3,MR. RUBEN TORRES,Corporate,Delhi,South
CUST-4,MS. CHRISTY ZHU,Corporate,Kolkata,East
CUST-5,MRS. ELIZABETH JOHNSON,Home Office,Kolkata,East
CUST-6,MR. JULIO RUIZ,Corporate,Pune,North
CUST-7,MR. MARCO MEHTA,Consumer,Hyderabad,North
CUST-8,MRS. ROBIN VERHOFF,Corporate,Hyderabad,East
CUST-9,MR. SHANNON CARLSON,Consumer,Chennai,East
CUST-10,MS. JACQUELYN SUAREZ,Home Office,Delhi,North
CUST-11,MR. CURTIS LU,Corporate,Delhi,East
CUST-12,MRS. LAUREN WALKER,Home Office,Hyderabad,North
CUST-13,MR. IAN JENKINS,Home Office,Ahmedabad,North
CUST-14,MRS. SYDNEY BENNETT,Consumer,Delhi,South
CUST-15,MS. CHLOE YOUNG,Corporate,Chennai,South
CUST-16,MR. WYATT HILL,Corporate,Chennai,North
CUST-17,MRS. SHANNON WANG,Consumer,Ahmedabad,West
CUST-18,MR. CLARENCE RAI,Corporate,Delhi,North
CUST-19,MR. LUKE LAL,Corporate,Mumbai,South
CUST-20,MR. JORDAN KING,Home Office,Ahmedabad,East
CUST-21,MS. DESTINY WILSON,Corporate,Kolkata,North
CUST-22,MR. ETHAN ZHANG,Corporate,Bangalore,South
CUST-23,MR. SETH EDWARDS,Home Office,Delhi,South
CUST-24,MR. RUSSELL XIE,Home Office,Hyderabad,West
CUST-25, MR. ALEJANDRO BECK,Home Office,Mumbai,South
CUST-26,MR. HAROLD SAI,Consumer,Bangalore,East
CUST-27,MR. JESSIE ZHAO,Corporate,Ahmedabad,East
CUST-28,MRS. JILL JIMENEZ,Home Office,Chennai,East
CUST-29,MR. JIMMY MORENO,Consumer,Mumbai,North
CUST-30,MRS. BETHANY YUAN,Home Office,Kolkata,West
CUST-31,MRS. THERESA RAMOS,Home Office,Chennai,South
CUST-32,MRS. DENISE STONE,Home Office,Mumbai,North
CUST-33,MR. JAIME NATH,Consumer,Mumbai,North
CUST-34,MRS. EBONY GONZALEZ,Consumer,Chennai,South
CUST-35,MR.  WENDY DOMINGUEZ,Corporate,Ahmedabad,North
CUST-36,MS. JENNIFER RUSSELL,Home Office,Kolkata,East
CUST-37,MS. CHLOE GARCIA,Consumer,Chennai,South
CUST-38,MRS. DIANA HERNANDEZ,Home Office,Pune,North
CUST-39,MR. MARC MARTIN,Corporate,Chennai,North
CUST-40,MR. JESSE MURPHY,Home Office,Chennai,North
CUST-41,MS. AMANDA CARTER,Corporate,Kolkata,East
CUST-42,MS. MEGAN SANCHEZ,Corporate,Kolkata,North
CUST-43,MR. NATHAN SIMMONS,Corporate,Pune,West
CUST-44,MR. ADAM FLORES,Corporate,Ahmedabad,West
CUST-45,MR. LEONARD NARA,Consumer,Chennai,North
CUST-46,MRS. CHRISTINE YUAN,Consumer,Hyderabad,South
CUST-47,MRS. JACLYN LU,Corporate,Bangalore,North
CUST-48,MR. JEREMY POWELL,Corporate,Ahmedabad,North
CUST-49,MS. CAROL RAI,Home Office,Mumbai,East
CUST-50,MR. ALAN ZHENG,Consumer,Hyderabad,North
CUST-51,MR. DANIEL JOHNSON,Consumer,Ahmedabad,East
CUST-52,MRS. HEIDI LOPEZ,Consumer,Pune,West
CUST-53,MS. ANA PRICE,Corporate,Ahmedabad,East
CUST-54,MRS. DEANNA MUNOZ,Home Office,Hyderabad,South
CUST-55,MR. GILBERT RAJE,Consumer,Kolkata,East
CUST-56,MRS. MICHELE NATH,Consumer,Mumbai,South
CUST-57,MR. CARL ANDERSEN,Home Office,Chennai,North
CUST-58,MR. MARC DIAZ,Home Office,Hyderabad,East
CUST-59,MRS. ASHLEE ANDERSEN,Consumer,Pune,South
CUST-60,MR. JON ZHOU,Corporate,Kolkata,West
CUST-61,MR. TODD GAO,Corporate,Kolkata,North
CUST-62,MR. NOAH POWELL,Corporate,Ahmedabad,North
CUST-63,MS. ANGELA MURPHY,Consumer,Mumbai,North
CUST-64,MR. CHASE REED,Home Office,Bangalore,North
CUST-65,MS. JESSICA HENDERSON,Corporate,Hyderabad,West
CUST-66,MS. GRACE BUTLER,Consumer,Mumbai,North
CUST-67,MR. CALEB CARTER,Home Office,Bangalore,East
CUST-68,MRS. TIFFANY LIANG,Corporate,Ahmedabad,South
CUST-69,MRS. CAROLYN NAVARRO,Corporate,Mumbai,South
CUST-70,MR. WILLIE RAJI,Home Office,Kolkata,East
CUST-71,MRS. LINDA SERRANO,Home Office,Mumbai,South
